Rank,Sponsor/Collaborators,Title,Status,Study Results,Conditions,Interventions,Funded Bys,Study Type,Locations,URL
1,"University of Wisconsin, Madison|Dendreon",Provenge With or Without pTVG-HP DNA Booster Vaccine in Prostate Cancer,"Active, not recruiting",Has Results,Prostate Cancer,Biological: sipuleucel-T|Biological: DNA Vaccine,Other|Industry,Interventional,"University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT01706458
2,Cedars-Sinai Medical Center|Merck Sharp & Dohme Corp.,A Study of Pembrolizumab With Standard Treatment in Patients With Recurrent Platinum-resistant Ovarian Cancer,"Active, not recruiting",Has Results,Ovarian Cancer,Drug: Pembrolizumab|Drug: Gemcitabine|Drug: Cisplatin,Other|Industry,Interventional,"Cedars-Sinai Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT02608684
3,University of Kansas Medical Center|AstraZeneca,Anti-Hormone Therapy (With Anastrazole and Fulvestrant) Before Surgery to Treat Postmenopausal Women With Breast Cancer.,"Active, not recruiting",Has Results,Invasive Breast Cancer,Drug: Fulvestrant|Drug: Anastrazole,Other|Industry,Interventional,"University of Kansas Medical Center, Kansas City, Kansas, United States",https://ClinicalTrials.gov/show/NCT00921115
4,H. Lee Moffitt Cancer Center and Research Institute|Merck Sharp & Dohme Corp.|Prometheus Laboratories,Interleukin-2 and Pembrolizumab for Metastatic Kidney Cancer,"Active, not recruiting",Has Results,Kidney Cancer,Drug: Pembrolizumab|Drug: Interleukin-2,Other|Industry,Interventional,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States",https://ClinicalTrials.gov/show/NCT02964078
5,H. Lee Moffitt Cancer Center and Research Institute|Bristol-Myers Squibb,Study of Nivolumab in Patients With Advanced Refractory Biliary Tract Cancers,"Active, not recruiting",Has Results,Biliary Tract Cancer|Biliary Tract Neoplasms,Drug: Nivolumab,Other|Industry,Interventional,"City of Hope Cancer Center, Duarte, California, United States|H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States|Emory University Winship Cancer Institute, Atlanta, Georgia, United States",https://ClinicalTrials.gov/show/NCT02829918
6,"H. Lee Moffitt Cancer Center and Research Institute|Genentech, Inc.",Phase I/IIa Trial of Gemcitabine Plus Trastuzumab and Pertuzumab in Previously Treated Metastatic HER2+ Breast Cancer,"Active, not recruiting",Has Results,Breast Cancer,Drug: Gemcitabine|Drug: Trastuzumab|Drug: Pertuzumab,Other|Industry,Interventional,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States",https://ClinicalTrials.gov/show/NCT02139358
7,Duke University|Janssen Pharmaceuticals,"Abiraterone, Radiotherapy and Short-Term Androgen Deprivation in Unfavorable Localized Prostate Cancer","Active, not recruiting",Has Results,Prostate Cancer,Drug: Abiraterone acetate|Drug: Androgen deprivation|Radiation: Radiation Therapy|Drug: Prednisone,Other|Industry,Interventional,"Durham Regional Hospital, Durham, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|MD Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT01717053
8,H. Lee Moffitt Cancer Center and Research Institute|Bayer,Single Agent Regorafenib in Refractory Advanced Biliary Cancers,"Active, not recruiting",Has Results,Cancer of the Bile Duct,Drug: Regorafenib,Other|Industry,Interventional,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States|UNC Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina, United States|VCU Massey Cancer Center, Richmond, Virginia, United States",https://ClinicalTrials.gov/show/NCT02115542
9,H. Lee Moffitt Cancer Center and Research Institute|Bristol-Myers Squibb,Ipilimumab + Nivolumab w/Thoracic Radiotherapy for Extensive-Stage Small Cell Lung Cancer,"Active, not recruiting",Has Results,Small Cell Lung Cancer|Extensive-stage Small Cell Lung Cancer,Radiation: Thoracic Radiation Therapy|Drug: Ipilimumab|Drug: Nivolumab,Other|Industry,Interventional,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States",https://ClinicalTrials.gov/show/NCT03043599
10,Dana-Farber Cancer Institute|Bristol-Myers Squibb,Window Study of Nivolumab With or Without Ipilimumab in Squamous Cell Carcinoma of the Oral Cavity,"Active, not recruiting",Has Results,Head and Neck Cancer,Drug: Nivolumab|Drug: Ipilimumab|Procedure: Standard of Care Surgery,Other|Industry,Interventional,"Dana Farber Cancer Institute, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02919683
